年份,姓名,專長,備註
"104","賴瓊慧 (女)","婦癌科學、婦產科學、分子流行病學、分子影像","召集人"
"104","林敏雄","內科學、臨床藥理學","副召集人"
"104","彭家勛","神經內科、中樞神經病、腦血管疾病",""
"104","邱政洵","感染科、疫苗",""
"104","賴振宏","免疫風濕",""
"104","邱昌芳","血液學、腫瘤醫學",""
"104","劉嘉逸","精神藥理學、流行病學、身心醫學",""
"104","毛蓓領 (女)","內科、臨床試驗藥品有效性與安全性評估",""
"104","劉滄梧","腫瘤醫學、腫瘤內科學、血液科、內科學",""
"104","陳芳祝 (女)","胸腔內科、呼吸生理、睡眠醫學",""
"104","李啟明","心臟內科、生化及分子生物學",""
"104","胡芳蓉 (女)","眼科、角膜學、雷射屈光手術、角膜移植手術",""
"104","邱麗珠 (女)","藥理學",""
"104","劉宗榮","毒理代謝體學",""
"104","林文貞 (女)","藥學、生物藥劑學、藥品安定性劑型設計",""
"104","黃昭蓮","蛋白質體學、分子生物學",""
"104","黃阿梅 (女)","分子生物學、腫瘤生物學",""
"104","胡幼圃","藥物動態學",""
"104","周辰熹","藥物動力學、肝臟藥物代謝、藥品 CMC 資料審查",""
"104","鮑力恆","藥物動力學、生物藥劑、藥物吸收、藥劑學",""
"104","張啟仁","生物統計",""
"104","李采娟 (女)","流行病學、臨床試驗、生物統計",""
"104","黃鈺生","藥政管理、消費者保護",""
